region,City,County,Type
21044,Columbia,Howard,Standard
21045,Columbia,Howard,Standard
21046,Columbia,Howard,Standard
21047,Fallston,Harford,Standard
21048,Finksburg,Carroll,Standard
21050,Forest Hill,Harford,Standard
21051,Fork,Baltimore,Standard
21052,Fort Howard,Baltimore,P.O. Box
21053,Freeland,Baltimore,Standard
21054,Gambrills,Anne Arundel,Standard
21056,Gibson Island,Anne Arundel,P.O. Box
21057,Glen Arm,Baltimore,Standard
21060,Glen Burnie,Anne Arundel,Standard
21061,Glen Burnie,Anne Arundel,Standard
21062,Glen Burnie,Anne Arundel,Unique
21065,Hunt Valley,Baltimore,Unique
21071,Glyndon,Baltimore,P.O. Box
21074,Hampstead,Carroll,Standard
21075,Elkridge,Howard,Standard
21076,Hanover,Anne Arundel,Standard
21077,Harmans,Anne Arundel,Standard
21078,Havre De Grace,Harford,Standard
21082,Hydes,Baltimore,Standard
21084,Jarrettsville,Harford,Standard
21085,Joppa,Harford,Standard
21087,Kingsville,Baltimore,Standard
21088,Lineboro,Carroll,P.O. Box
21090,Linthicum Heights,Anne Arundel,Standard
21092,Long Green,Baltimore,P.O. Box
21093,Lutherville Timonium,Baltimore,Standard
21094,Lutherville Timonium,Baltimore,P.O. Box
21102,Manchester,Carroll,Standard
21104,Marriottsville,Carroll,Standard
21105,Maryland Line,Baltimore,P.O. Box
21106,Mayo,Anne Arundel,P.O. Box
21108,Millersville,Anne Arundel,Standard
21111,Monkton,Baltimore,Standard
21113,Odenton,Anne Arundel,Standard
21114,Crofton,Anne Arundel,Standard
21117,Owings Mills,Baltimore,Standard
21120,Parkton,Baltimore,Standard
21122,Pasadena,Anne Arundel,Standard
21123,Pasadena,Anne Arundel,P.O. Box
21128,Perry Hall,Baltimore,Standard
21130,Perryman,Harford,P.O. Box
21131,Phoenix,Baltimore,Standard
21132,Pylesville,Harford,Standard
21133,Randallstown,Baltimore,Standard
21136,Reisterstown,Baltimore,Standard
21139,Riderwood,Baltimore,P.O. Box
21140,Riva,Anne Arundel,Standard
21144,Severn,Anne Arundel,Standard
21146,Severna Park,Anne Arundel,Standard
21150,Simpsonville,Howard,P.O. Box
21152,Sparks Glencoe,Baltimore,Standard
21153,Stevenson,Baltimore,P.O. Box
21154,Street,Harford,Standard
21155,Upperco,Baltimore,Standard
21156,Upper Falls,Baltimore,Standard
21157,Westminster,Carroll,Standard
21158,Westminster,Carroll,Standard
21160,Whiteford,Harford,Standard
21161,White Hall,Harford,Standard
21162,White Marsh,Baltimore,Standard
21163,Woodstock,Howard,Standard
21201,Baltimore,Baltimore City,Standard
21202,Baltimore,Baltimore City,Standard
21203,Baltimore,Baltimore City,P.O. Box
21204,Towson,Baltimore,Standard
21205,Baltimore,Baltimore City,Standard
21206,Baltimore,Baltimore City,Standard
21207,Gwynn Oak,Baltimore,Standard
21208,Pikesville,Baltimore,Standard
21209,Baltimore,Baltimore City,Standard
21210,Baltimore,Baltimore City,Standard
21211,Baltimore,Baltimore City,Standard
21212,Baltimore,Baltimore City,Standard
21213,Baltimore,Baltimore City,Standard
21214,Baltimore,Baltimore City,Standard
21215,Baltimore,Baltimore City,Standard
21216,Baltimore,Baltimore City,Standard
21217,Baltimore,Baltimore City,Standard
21218,Baltimore,Baltimore City,Standard
21219,Sparrows Point,Baltimore,Standard
21220,Middle River,Baltimore,Standard
21221,Essex,Baltimore,Standard
21222,Dundalk,Baltimore,Standard
21223,Baltimore,Baltimore City,Standard
21224,Baltimore,Baltimore City,Standard
21225,Brooklyn,Baltimore City,Standard
21226,Curtis Bay,Anne Arundel,Standard
21227,Halethorpe,Baltimore,Standard
21228,Catonsville,Baltimore,Standard
21229,Baltimore,Baltimore City,Standard
21230,Baltimore,Baltimore City,Standard
21231,Baltimore,Baltimore City,Standard
21233,Baltimore,Baltimore City,Standard
21234,Parkville,Baltimore,Standard
21235,Baltimore,Baltimore City,Unique
21236,Nottingham,Baltimore,Standard
21237,Rosedale,Baltimore,Standard
21239,Baltimore,Baltimore City,Standard
21240,Baltimore,Anne Arundel,Standard
21241,Baltimore,Baltimore City,Unique
21244,Windsor Mill,Baltimore,Standard
21250,Baltimore,Baltimore,Unique
21251,Baltimore,Baltimore City,Unique
21252,Towson,Baltimore,Unique
21263,Baltimore,Baltimore City,Unique
21264,Baltimore,Baltimore City,Unique
21270,Baltimore,Baltimore City,P.O. Box
21273,Baltimore,Baltimore City,Unique
21275,Baltimore,Baltimore City,Unique
